unicef_region,iso3,country,vaccine,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
ROSA,AFG,Afghanistan,BCG,68.0,69.0,65.0,72.0,74.0,82.0,80.0,78.0,76.0,74.0,72.0,78.0,71.0,68.0,64.0,66.0,60.0,60.0,57.0,51.0,44.0,46.0,43.0,30.0
ECAR,ALB,Albania,BCG,99.0,99.0,99.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,96.0,97.0,99.0,97.0,99.0,98.0,97.0,98.0,97.0,95.0,94.0,93.0,93.0
MENA,DZA,Algeria,BCG,99.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,98.0,98.0,97.0,97.0
ESAR,AGO,Angola,BCG,73.0,60.0,56.0,58.0,69.0,72.0,69.0,40.0,64.0,72.0,71.0,73.0,74.0,79.0,70.0,73.0,75.0,54.0,51.0,63.0,54.0,76.0,70.0,53.0
LACR,ARG,Argentina,BCG,69.0,81.0,80.0,75.0,85.0,93.0,95.0,92.0,96.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,95.0,92.0,95.0
ECAR,ARM,Armenia,BCG,99.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,96.0,96.0,95.0,99.0,98.0,94.0,91.0,94.0,96.0,92.0,97.0,96.0,97.0
ECAR,AZE,Azerbaijan,BCG,95.0,96.0,95.0,94.0,96.0,97.0,97.0,98.0,98.0,98.0,98.0,98.0,99.0,98.0,95.0,92.0,88.0,86.0,82.0,82.0,83.0,82.0,83.0,81.0
ROSA,BGD,Bangladesh,BCG,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,99.0,98.0,99.0,99.0,98.0,97.0,97.0,96.0,93.0,95.0,95.0,94.0
ECAR,BLR,Belarus,BCG,98.0,98.0,98.0,97.0,97.0,98.0,98.0,98.0,97.0,98.0,99.0,98.0,99.0,99.0,98.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
LACR,BLZ,Belize,BCG,88.0,92.0,84.0,76.0,95.0,99.0,90.0,94.0,98.0,98.0,99.0,98.0,98.0,98.0,99.0,98.0,99.0,97.0,96.0,99.0,99.0,96.0,98.0,96.0
WCAR,BEN,Benin,BCG,93.0,89.0,90.0,86.0,87.0,87.0,88.0,88.0,96.0,96.0,95.0,96.0,88.0,90.0,93.0,96.0,97.0,93.0,88.0,89.0,90.0,90.0,91.0,92.0
ROSA,BTN,Bhutan,BCG,97.0,99.0,99.0,98.0,92.0,99.0,99.0,99.0,99.0,99.0,97.0,95.0,95.0,96.0,94.0,99.0,94.0,92.0,92.0,92.0,93.0,83.0,81.0,97.0
LACR,BOL,Bolivia (Plurinational State of),BCG,74.0,76.0,78.0,82.0,80.0,90.0,93.0,96.0,99.0,94.0,94.0,99.0,99.0,98.0,93.0,90.0,87.0,87.0,88.0,86.0,96.0,93.0,90.0,92.0
ECAR,BIH,Bosnia and Herzegovina,BCG,95.0,96.0,94.0,96.0,96.0,95.0,97.0,97.0,95.0,98.0,97.0,96.0,94.0,96.0,97.0,96.0,98.0,97.0,95.0,95.0,94.0,91.0,95.0,93.0
ESAR,BWA,Botswana,BCG,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
LACR,BRA,Brazil,BCG,79.0,88.0,69.0,73.0,85.0,98.0,94.0,96.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
EAPR,BRN,Brunei Darussalam,BCG,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,96.0,95.0,99.0,99.0,96.0,99.0,94.0,99.0,95.0,95.0,99.0,99.0
ECAR,BGR,Bulgaria,BCG,97.0,96.0,97.0,97.0,96.0,96.0,96.0,96.0,96.0,97.0,97.0,97.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0
WCAR,BFA,Burkina Faso,BCG,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,96.0,96.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,83.0,90.0,80.0,81.0
ESAR,BDI,Burundi,BCG,89.0,94.0,95.0,83.0,93.0,91.0,92.0,93.0,93.0,92.0,95.0,98.0,90.0,93.0,98.0,99.0,97.0,98.0,89.0,91.0,90.0,88.0,87.0,85.0
WCAR,CPV,Cabo Verde,BCG,98.0,98.0,98.0,98.0,98.0,96.0,98.0,96.0,94.0,99.0,94.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,97.0,96.0,96.0
EAPR,KHM,Cambodia,BCG,91.0,95.0,92.0,94.0,95.0,90.0,99.0,99.0,99.0,98.0,96.0,99.0,98.0,95.0,96.0,98.0,90.0,87.0,87.0,95.0,76.0,63.0,64.0,81.0
WCAR,CMR,Cameroon,BCG,93.0,69.0,80.0,79.0,78.0,82.0,85.0,80.0,81.0,86.0,84.0,84.0,83.0,83.0,81.0,91.0,89.0,96.0,90.0,83.0,82.0,79.0,79.0,78.0
