unicef_region,iso3,country,vaccine,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
ROSA,AFG,Afghanistan,DTP3,60,58,55,61,65,67,63,65,64,63,64,66,68,66.0,63.0,64.0,63.0,58.0,58.0,50.0,41.0,36.0,33.0,24.0
ECAR,ALB,Albania,DTP3,97,97,98,98,99,99,99,98,99,98,99,99,99,99.0,98.0,99.0,98.0,97.0,98.0,97.0,97.0,98.0,97.0,97.0
MENA,DZA,Algeria,DTP3,92,77,81,84,88,91,91,91,95,95,95,95,95,95.0,95.0,93.0,95.0,95.0,88.0,86.0,87.0,86.0,89.0,86.0
Non-programme,AND,Andorra,DTP3,98,98,99,99,99,99,99,98,97,97,96,99,99,99.0,99.0,99.0,96.0,93.0,98.0,99.0,99.0,97.0,96.0,98.0
ESAR,AGO,Angola,DTP3,54,42,45,51,57,63,56,59,59,55,54,53,52,51.0,50.0,49.0,48.0,44.0,47.0,47.0,46.0,47.0,42.0,31.0
LACR,ATG,Antigua and Barbuda,DTP3,97,99,92,96,95,95,95,92,99,99,99,98,99,98.0,99.0,99.0,99.0,99.0,99.0,97.0,99.0,98.0,97.0,95.0
LACR,ARG,Argentina,DTP3,66,84,81,74,83,86,86,92,94,94,94,91,91,94.0,94.0,93.0,91.0,91.0,98.0,98.0,96.0,93.0,83.0,83.0
ECAR,ARM,Armenia,DTP3,94,93,93,91,92,92,94,94,94,93,95,95,95,94.0,93.0,89.0,88.0,87.0,90.0,91.0,94.0,94.0,94.0,93.0
Non-programme,AUS,Australia,DTP3,94,94,95,95,95,95,95,94,93,92,91,92,92,92.0,92.0,92.0,92.0,92.0,92.0,92.0,93.0,92.0,92.0,90.0
Non-programme,AUT,Austria,DTP3,84,84,86,85,85,85,90,87,93,98,95,92,89,86.0,83.0,83.0,85.0,83.0,86.0,83.0,84.0,83.0,84.0,81.0
