unicef_region,iso3,country,vaccine,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
ROSA,AFG,Afghanistan,HEPB3,60,58,55,61.0,65.0,67.0,63.0,65.0,64.0,63.0,64.0,66.0,68.0,66.0,63.0,64.0,63.0,,,,,,,
ECAR,ALB,Albania,HEPB3,97,97,98,98.0,99.0,99.0,99.0,98.0,99.0,98.0,99.0,99.0,99.0,99.0,98.0,99.0,98.0,98.0,98.0,99.0,97.0,96.0,96.0,96.0
MENA,DZA,Algeria,HEPB3,94,77,81,84.0,88.0,91.0,91.0,91.0,95.0,95.0,95.0,95.0,95.0,95.0,94.0,91.0,90.0,80.0,83.0,81.0,,,,
Non-programme,AND,Andorra,HEPB3,97,96,98,98.0,98.0,98.0,98.0,94.0,94.0,95.0,94.0,96.0,99.0,96.0,96.0,97.0,91.0,84.0,79.0,77.0,81.0,84.0,84.0,84.0
ESAR,AGO,Angola,HEPB3,54,42,45,51.0,57.0,63.0,56.0,59.0,59.0,55.0,54.0,52.0,50.0,49.0,47.0,45.0,43.0,,,,,,,
LACR,ATG,Antigua and Barbuda,HEPB3,98,99,92,95.0,99.0,95.0,95.0,92.0,99.0,99.0,99.0,98.0,99.0,98.0,98.0,98.0,97.0,99.0,99.0,97.0,99.0,99.0,96.0,
LACR,ARG,Argentina,HEPB3,66,84,81,74.0,83.0,86.0,86.0,92.0,94.0,94.0,94.0,91.0,91.0,94.0,94.0,90.0,85.0,84.0,88.0,81.0,73.0,66.0,,
ECAR,ARM,Armenia,HEPB3,94,96,93,92.0,92.0,92.0,94.0,94.0,94.0,93.0,95.0,95.0,95.0,94.0,93.0,89.0,85.0,78.0,91.0,91.0,93.0,91.0,69.0,55.0
Non-programme,AUS,Australia,HEPB3,94,94,95,95.0,95.0,95.0,95.0,94.0,93.0,91.0,91.0,91.0,92.0,92.0,94.0,94.0,94.0,95.0,95.0,95.0,95.0,95.0,94.0,
Non-programme,AUT,Austria,HEPB3,84,84,86,85.0,85.0,85.0,90.0,87.0,93.0,98.0,95.0,92.0,89.0,86.0,83.0,83.0,85.0,83.0,86.0,83.0,83.0,81.0,44.0,33.0
ECAR,AZE,Azerbaijan,HEPB3,83,83,89,79.0,94.0,95.0,95.0,97.0,96.0,94.0,93.0,88.0,84.0,80.0,74.0,68.0,62.0,52.0,49.0,50.0,51.0,50.0,,
LACR,BHS,Bahamas,HEPB3,87,87,86,83.0,89.0,90.0,94.0,94.0,95.0,96.0,97.0,96.0,95.0,98.0,95.0,90.0,93.0,96.0,93.0,93.0,88.0,89.0,21.0,
MENA,BHR,Bahrain,HEPB3,99,97,98,98.0,99.0,99.0,98.0,99.0,98.0,98.0,99.0,99.0,99.0,99.0,98.0,97.0,97.0,98.0,98.0,98.0,98.0,98.0,99.0,97.0
ROSA,BGD,Bangladesh,HEPB3,98,98,98,98.0,98.0,98.0,98.0,98.0,98.0,97.0,96.0,94.0,96.0,94.0,97.0,96.0,95.0,86.0,45.0,11.0,5.0,,,
LACR,BRB,Barbados,HEPB3,85,86,82,85.0,90.0,95.0,90.0,97.0,97.0,94.0,91.0,87.0,91.0,86.0,93.0,85.0,93.0,84.0,92.0,93.0,91.0,66.0,18.0,
ECAR,BLR,Belarus,HEPB3,97,98,98,97.0,97.0,98.0,98.0,96.0,99.0,97.0,98.0,97.0,98.0,96.0,98.0,98.0,91.0,98.0,99.0,99.0,56.0,99.0,93.0,70.0
