unicef_region,iso3,country,vaccine,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
ROSA,AFG,Afghanistan,HEPBB,55.0,53.0,48.0,46.0,41.0,33.0,22.0,11.0,8.0,4.0,,,,,,,,,,,,,,
ECAR,ALB,Albania,HEPBB,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,97.0,97.0,99.0,98.0,98.0,98.0,99.0,99.0,99.0,98.0,99.0,98.0,98.0
MENA,DZA,Algeria,HEPBB,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,97.0,97.0,97.0,,,,
Non-programme,AND,Andorra,HEPBB,,,,,,,,94.0,94.0,94.0,96.0,95.0,93.0,94.0,94.0,98.0,98.0,98.0,97.0,97.0,96.0,,,
LACR,ATG,Antigua and Barbuda,HEPBB,34.0,27.0,19.0,,,,,,,,,,,,,,,,,,,,,
LACR,ARG,Argentina,HEPBB,64.0,79.0,77.0,72.0,77.0,82.0,80.0,81.0,84.0,87.0,85.0,88.0,85.0,79.0,81.0,79.0,76.0,72.0,71.0,65.0,,,,
ECAR,ARM,Armenia,HEPBB,96.0,96.0,94.0,97.0,96.0,97.0,97.0,98.0,98.0,98.0,98.0,95.0,95.0,94.0,92.0,91.0,92.0,92.0,93.0,94.0,95.0,95.0,96.0,97.0
ECAR,AZE,Azerbaijan,HEPBB,98.0,98.0,98.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,99.0,98.0,95.0,92.0,88.0,86.0,82.0,82.0,83.0,82.0,,
MENA,BHR,Bahrain,HEPBB,99.0,99.0,99.0,99.0,98.0,98.0,99.0,99.0,67.0,,,,,,,,,,,,,,,
ECAR,BLR,Belarus,HEPBB,98.0,98.0,98.0,97.0,98.0,98.0,98.0,98.0,98.0,99.0,99.0,98.0,98.0,98.0,98.0,98.0,98.0,99.0,99.0,,,,,
LACR,BLZ,Belize,HEPBB,82.0,86.0,77.0,67.0,70.0,55.0,,,,,,,,,,,,,,,,,,
WCAR,BEN,Benin,HEPBB,84.0,79.0,74.0,17.0,,,,,,,,,,,,,,,,,,,,
ROSA,BTN,Bhutan,HEPBB,94.0,94.0,84.0,85.0,86.0,96.0,95.0,82.0,78.0,78.0,64.0,60.0,29.0,,,,,,,,,,,
ESAR,BWA,Botswana,HEPBB,54.0,40.0,,,,,,,,,,,,,,,,,,,,,,
LACR,BRA,Brazil,HEPBB,75.0,82.0,62.0,63.0,77.0,87.0,80.0,82.0,91.0,88.0,89.0,90.0,91.0,92.0,92.0,93.0,94.0,95.0,94.0,92.0,91.0,93.0,95.0,99.0
EAPR,BRN,Brunei Darussalam,HEPBB,96.0,83.0,82.0,81.0,,,,,,,,,,,,,,,,,,,,
ECAR,BGR,Bulgaria,HEPBB,97.0,97.0,97.0,98.0,98.0,96.0,97.0,96.0,97.0,98.0,98.0,98.0,99.0,98.0,98.0,98.0,98.0,99.0,99.0,98.0,98.0,96.0,99.0,98.0
WCAR,BFA,Burkina Faso,HEPBB,80.0,49.0,,,,,,,,,,,,,,,,,,,,,,
WCAR,CPV,Cabo Verde,HEPBB,96.0,96.0,96.0,96.0,96.0,97.0,96.0,96.0,93.0,99.0,94.0,99.0,99.0,99.0,91.0,81.0,84.0,68.0,68.0,75.0,76.0,77.0,,
EAPR,KHM,Cambodia,HEPBB,82.0,78.0,82.0,90.0,84.0,69.0,77.0,85.0,86.0,91.0,62.0,68.0,68.0,56.0,52.0,43.0,22.0,,,,,,,
LACR,CHL,Chile,HEPBB,99.0,99.0,98.0,99.0,65.0,,,,,,,,,,,,,,,,,,,
EAPR,CHN,China,HEPBB,93.0,95.0,95.0,95.0,96.0,96.0,96.0,96.0,96.0,94.0,99.0,96.0,95.0,92.0,93.0,91.0,86.0,88.0,86.0,76.0,,,,
LACR,COL,Colombia,HEPBB,77.0,85.0,87.0,88.0,81.0,77.0,81.0,,,,,,,,,,,,,,,,,
