unicef_region,iso3,country,vaccine,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
ROSA,AFG,Afghanistan,HIB3,60,58,55.0,61.0,65.0,67.0,63.0,65.0,64.0,63.0,64.0,66.0,68.0,66.0,63.0,,,,,,,,,
ECAR,ALB,Albania,HIB3,97,97,98.0,98.0,99.0,99.0,99.0,98.0,99.0,98.0,99.0,99.0,99.0,99.0,98.0,,,,,,,,,
MENA,DZA,Algeria,HIB3,92,77,81.0,84.0,88.0,91.0,91.0,91.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,93.0,,,,,,,,
Non-programme,AND,Andorra,HIB3,97,97,98.0,98.0,98.0,99.0,99.0,98.0,97.0,97.0,96.0,98.0,99.0,98.0,97.0,98.0,95.0,93.0,97.0,95.0,91.0,92.0,92.0,90.0
ESAR,AGO,Angola,HIB3,54,42,45.0,51.0,57.0,63.0,56.0,59.0,59.0,55.0,54.0,52.0,50.0,49.0,47.0,45.0,43.0,,,,,,,
LACR,ATG,Antigua and Barbuda,HIB3,98,99,92.0,99.0,99.0,95.0,95.0,92.0,99.0,99.0,99.0,98.0,99.0,98.0,94.0,97.0,99.0,99.0,99.0,97.0,97.0,97.0,97.0,
LACR,ARG,Argentina,HIB3,66,84,81.0,74.0,83.0,86.0,86.0,92.0,94.0,94.0,94.0,91.0,91.0,94.0,94.0,93.0,91.0,91.0,98.0,98.0,96.0,93.0,83.0,83.0
ECAR,ARM,Armenia,HIB3,94,96,93.0,92.0,92.0,92.0,94.0,94.0,94.0,93.0,95.0,95.0,95.0,48.0,,,,,,,,,,
Non-programme,AUS,Australia,HIB3,94,94,95.0,95.0,95.0,94.0,94.0,94.0,93.0,91.0,91.0,92.0,92.0,92.0,94.0,94.0,94.0,95.0,94.0,95.0,95.0,95.0,95.0,90.0
Non-programme,AUT,Austria,HIB3,84,84,86.0,85.0,85.0,85.0,90.0,87.0,93.0,98.0,95.0,92.0,89.0,86.0,83.0,83.0,85.0,83.0,86.0,83.0,84.0,82.0,74.0,72.0
ECAR,AZE,Azerbaijan,HIB3,83,83,89.0,79.0,94.0,95.0,95.0,97.0,96.0,94.0,93.0,89.0,36.0,,,,,,,,,,,
LACR,BHS,Bahamas,HIB3,87,87,86.0,83.0,89.0,90.0,94.0,94.0,95.0,96.0,97.0,98.0,98.0,98.0,96.0,94.0,95.0,95.0,93.0,93.0,93.0,94.0,99.0,90.0
MENA,BHR,Bahrain,HIB3,99,97,98.0,98.0,99.0,99.0,97.0,99.0,98.0,99.0,99.0,99.0,99.0,99.0,97.0,97.0,97.0,98.0,98.0,98.0,97.0,98.0,99.0,97.0
