unicef_region,iso3,country,vaccine,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
ROSA,AFG,Afghanistan,IPV2,45.0,43.0,30.0,,,,,,,,,,,,,,,,,,,,,
ECAR,ALB,Albania,IPV2,97.0,98.0,98.0,,,,,,,,,,,,,,,,,,,,,
MENA,DZA,Algeria,IPV2,33.0,,,,,,,,,,,,,,,,,,,,,,,
ESAR,AGO,Angola,IPV2,24.0,15.0,,,,,,,,,,,,,,,,,,,,,,
LACR,ATG,Antigua and Barbuda,IPV2,98.0,97.0,93.0,,,,,,,,,,,,,,,,,,,,,
ECAR,AZE,Azerbaijan,IPV2,81.0,46.0,,,,,,,,,,,,,,,,,,,,,,
LACR,BHS,Bahamas,IPV2,94.0,92.0,86.0,,,,,,,,,,,,,,,,,,,,,
MENA,BHR,Bahrain,IPV2,99.0,97.0,99.0,,,,,,,,,,,,,,,,,,,,,
LACR,BRB,Barbados,IPV2,90.0,87.0,83.0,,,,,,,,,,,,,,,,,,,,,
LACR,BLZ,Belize,IPV2,85.0,86.0,80.0,,,,,,,,,,,,,,,,,,,,,
ROSA,BTN,Bhutan,IPV2,84.0,,,,,,,,,,,,,,,,,,,,,,,
LACR,BOL,Bolivia (Plurinational State of),IPV2,67.0,72.0,71.0,,,,,,,,,,,,,,,,,,,,,
LACR,BRA,Brazil,IPV2,83.0,80.0,72.0,,,,,,,,,,,,,,,,,,,,,
WCAR,BFA,Burkina Faso,IPV2,91.0,88.0,,,,,,,,,,,,,,,,,,,,,,
WCAR,CMR,Cameroon,IPV2,55.0,,,,,,,,,,,,,,,,,,,,,,,
WCAR,TCD,Chad,IPV2,32.0,1.0,,,,,,,,,,,,,,,,,,,,,,
EAPR,CHN,China,IPV2,98.0,99.0,99.0,,,,,,,,,,,,,,,,,,,,,
LACR,COL,Colombia,IPV2,90.0,88.0,86.0,,,,,,,,,,,,,,,,,,,,,
WCAR,CIV,Cote d'Ivoire,IPV2,60.0,,,,,,,,,,,,,,,,,,,,,,,
WCAR,COD,Democratic Republic of the Congo,IPV2,23.0,,,,,,,,,,,,,,,,,,,,,,,
LACR,DMA,Dominica,IPV2,75.0,91.0,94.0,,,,,,,,,,,,,,,,,,,,,
LACR,DOM,Dominican Republic,IPV2,94.0,17.0,,,,,,,,,,,,,,,,,,,,,,
MENA,EGY,Egypt,IPV2,97.0,97.0,97.0,,,,,,,,,,,,,,,,,,,,,
LACR,SLV,El Salvador,IPV2,96.0,95.0,95.0,,,,,,,,,,,,,,,,,,,,,
ESAR,ERI,Eritrea,IPV2,93.0,93.0,49.0,,,,,,,,,,,,,,,,,,,,,
WCAR,GMB,Gambia,IPV2,80.0,69.0,17.0,,,,,,,,,,,,,,,,,,,,,
LACR,GRD,Grenada,IPV2,92.0,74.0,74.0,,,,,,,,,,,,,,,,,,,,,
LACR,GTM,Guatemala,IPV2,89.0,86.0,83.0,,,,,,,,,,,,,,,,,,,,,
WCAR,GNB,Guinea-Bissau,IPV2,71.0,48.0,25.0,,,,,,,,,,,,,,,,,,,,,
LACR,GUY,Guyana,IPV2,94.0,94.0,94.0,,,,,,,,,,,,,,,,,,,,,
LACR,HND,Honduras,IPV2,73.0,80.0,80.0,,,,,,,,,,,,,,,,,,,,,
EAPR,IDN,Indonesia,IPV2,44.0,1.0,,,,,,,,,,,,,,,,,,,,,,
MENA,IRN,Iran (Islamic Republic of),IPV2,99.0,99.0,98.0,,,,,,,,,,,,,,,,,,,,,
MENA,IRQ,Iraq,IPV2,91.0,92.0,77.0,,,,,,,,,,,,,,,,,,,,,
Non-programme,ISR,Israel,IPV2,99.0,99.0,99.0,,,,,,,,,,,,,,,,,,,,,
LACR,JAM,Jamaica,IPV2,91.0,6.0,4.0,,,,,,,,,,,,,,,,,,,,,
MENA,JOR,Jordan,IPV2,96.0,92.0,,,,,,,,,,,,,,,,,,,,,,
ECAR,KAZ,Kazakhstan,IPV2,98.0,97.0,92.0,,,,,,,,,,,,,,,,,,,,,
MENA,KWT,Kuwait,IPV2,99.0,94.0,96.0,,,,,,,,,,,,,,,,,,,,,
ECAR,KGZ,Kyrgyzstan,IPV2,66.0,39.0,,,,,,,,,,,,,,,,,,,,,,
MENA,LBN,Lebanon,IPV2,80.0,80.0,,,,,,,,,,,,,,,,,,,,,,
MENA,LBY,Libya,IPV2,73.0,73.0,73.0,,,,,,,,,,,,,,,,,,,,,
ESAR,MDG,Madagascar,IPV2,43.0,32.0,5.0,,,,,,,,,,,,,,,,,,,,,
WCAR,MLI,Mali,IPV2,52.0,50.0,4.0,,,,,,,,,,,,,,,,,,,,,
ECAR,MNE,Montenegro,IPV2,,89.0,90.0,,,,,,,,,,,,,,,,,,,,,
ESAR,MOZ,Mozambique,IPV2,79.0,,,,,,,,,,,,,,,,,,,,,,,
LACR,NIC,Nicaragua,IPV2,89.0,94.0,,,,,,,,,,,,,,,,,,,,,,
WCAR,NER,Niger,IPV2,82.0,73.0,,,,,,,,,,,,,,,,,,,,,,
WCAR,NGA,Nigeria,IPV2,44.0,37.0,17.0,,,,,,,,,,,,,,,,,,,,,
MENA,OMN,Oman,IPV2,99.0,99.0,99.0,,,,,,,,,,,,,,,,,,,,,
ROSA,PAK,Pakistan,IPV2,84.0,80.0,29.0,,,,,,,,,,,,,,,,,,,,,
LACR,PAN,Panama,IPV2,,88.0,89.0,,,,,,,,,,,,,,,,,,,,,
EAPR,PNG,Papua New Guinea,IPV2,36.0,36.0,1.0,,,,,,,,,,,,,,,,,,,,,
LACR,PRY,Paraguay,IPV2,76.0,75.0,73.0,,,,,,,,,,,,,,,,,,,,,
LACR,PER,Peru,IPV2,88.0,89.0,84.0,,,,,,,,,,,,,,,,,,,,,
EAPR,PHL,Philippines,IPV2,59.0,43.0,5.0,,,,,,,,,,,,,,,,,,,,,
MENA,QAT,Qatar,IPV2,98.0,98.0,98.0,,,,,,,,,,,,,,,,,,,,,
ECAR,MDA,Republic of Moldova,IPV2,83.0,74.0,,,,,,,,,,,,,,,,,,,,,,
Non-programme,RUS,Russian Federation,IPV2,93.0,93.0,93.0,,,,,,,,,,,,,,,,,,,,,
ESAR,RWA,Rwanda,IPV2,94.0,73.0,,,,,,,,,,,,,,,,,,,,,,
LACR,KNA,Saint Kitts and Nevis,IPV2,96.0,,,,,,,,,,,,,,,,,,,,,,,
LACR,LCA,Saint Lucia,IPV2,87.0,,,,,,,,,,,,,,,,,,,,,,,
LACR,VCT,Saint Vincent and the Grenadines,IPV2,90.0,99.0,,,,,,,,,,,,,,,,,,,,,,
MENA,SAU,Saudi Arabia,IPV2,97.0,98.0,97.0,,,,,,,,,,,,,,,,,,,,,
WCAR,SEN,Senegal,IPV2,79.0,88.0,,,,,,,,,,,,,,,,,,,,,,
WCAR,SLE,Sierra Leone,IPV2,75.0,35.0,4.0,,,,,,,,,,,,,,,,,,,,,
ESAR,SOM,Somalia,IPV2,26.0,11.0,3.0,,,,,,,,,,,,,,,,,,,,,
ESAR,ZAF,South Africa,IPV2,78.0,84.0,,,,,,,,,,,,,,,,,,,,,,
ESAR,SSD,South Sudan,IPV2,34.0,34.0,8.0,,,,,,,,,,,,,,,,,,,,,
MENA,SDN,Sudan,IPV2,50.0,43.0,36.0,,,,,,,,,,,,,,,,,,,,,
LACR,SUR,Suriname,IPV2,83.0,,,,,,,,,,,,,,,,,,,,,,,
MENA,SYR,Syrian Arab Republic,IPV2,68.0,65.0,66.0,,,,,,,,,,,,,,,,,,,,,
ECAR,TJK,Tajikistan,IPV2,94.0,40.0,,,,,,,,,,,,,,,,,,,,,,
WCAR,TGO,Togo,IPV2,69.0,25.0,,,,,,,,,,,,,,,,,,,,,,
LACR,TTO,Trinidad and Tobago,IPV2,97.0,96.0,86.0,,,,,,,,,,,,,,,,,,,,,
MENA,TUN,Tunisia,IPV2,96.0,96.0,95.0,,,,,,,,,,,,,,,,,,,,,
ECAR,TUR,Turkiye,IPV2,99.0,99.0,95.0,,,,,,,,,,,,,,,,,,,,,
ESAR,UGA,Uganda,IPV2,41.0,2.0,,,,,,,,,,,,,,,,,,,,,,
ECAR,UKR,Ukraine,IPV2,84.0,72.0,82.0,,,,,,,,,,,,,,,,,,,,,
MENA,ARE,United Arab Emirates,IPV2,96.0,93.0,96.0,,,,,,,,,,,,,,,,,,,,,
ECAR,UZB,Uzbekistan,IPV2,87.0,97.0,,,,,,,,,,,,,,,,,,,,,,
LACR,VEN,Venezuela (Bolivarian Republic of),IPV2,60.0,42.0,32.0,,,,,,,,,,,,,,,,,,,,,
EAPR,VNM,Viet Nam,IPV2,78.0,74.0,,,,,,,,,,,,,,,,,,,,,,
MENA,YEM,Yemen,IPV2,33.0,23.0,,,,,,,,,,,,,,,,,,,,,,
ESAR,ZWE,Zimbabwe,IPV2,88.0,88.0,16.0,,,,,,,,,,,,,,,,,,,,,
