unicef_region,iso3,country,vaccine,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
ROSA,AFG,Afghanistan,MCV1,55,56,51,57,57,66,64,64,62,60,57,59,64,62.0,60.0,59.0,55.0,53.0,50.0,48.0,39.0,35.0,37.0,27.0
ECAR,ALB,Albania,MCV1,83,86,87,91,95,94,96,96,97,98,99,98,99,99.0,97.0,98.0,97.0,95.0,97.0,96.0,93.0,96.0,95.0,95.0
MENA,DZA,Algeria,MCV1,99,79,79,80,80,80,88,94,95,95,95,95,95,95.0,92.0,88.0,92.0,91.0,83.0,81.0,84.0,81.0,83.0,80.0
Non-programme,AND,Andorra,MCV1,99,98,99,98,99,99,99,97,96,96,95,98,99,99.0,98.0,98.0,94.0,91.0,94.0,98.0,96.0,98.0,97.0,97.0
ESAR,AGO,Angola,MCV1,50,37,36,44,51,50,42,45,51,56,59,65,57,62.0,46.0,48.0,58.0,21.0,21.0,43.0,44.0,59.0,60.0,32.0
LACR,ATG,Antigua and Barbuda,MCV1,94,99,85,89,93,96,99,88,91,93,96,98,99,98.0,99.0,99.0,99.0,99.0,99.0,97.0,99.0,99.0,97.0,95.0
LACR,ARG,Argentina,MCV1,80,85,86,77,86,94,89,90,89,95,94,94,95,95.0,96.0,96.0,94.0,97.0,98.0,99.0,97.0,95.0,89.0,91.0
ECAR,ARM,Armenia,MCV1,96,95,94,94,95,95,96,97,97,97,97,97,97,97.0,96.0,94.0,92.0,92.0,94.0,92.0,94.0,91.0,93.0,92.0
Non-programme,AUS,Australia,MCV1,91,96,93,93,94,94,94,95,95,94,94,94,94,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,92.0,91.0
Non-programme,AUT,Austria,MCV1,95,95,99,95,95,94,96,95,96,96,92,88,84,80.0,76.0,83.0,79.0,80.0,75.0,74.0,79.0,78.0,79.0,75.0
ECAR,AZE,Azerbaijan,MCV1,96,93,93,82,98,96,98,98,98,98,98,94,92,89.0,85.0,79.0,75.0,69.0,67.0,67.0,67.0,66.0,68.0,67.0
LACR,BHS,Bahamas,MCV1,86,80,82,87,83,89,90,89,94,92,92,91,90,94.0,98.0,90.0,96.0,88.0,85.0,89.0,90.0,94.0,94.0,93.0
MENA,BHR,Bahrain,MCV1,99,99,99,99,99,99,99,99,99,99,99,99,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0
ROSA,BGD,Bangladesh,MCV1,97,97,97,97,97,97,97,97,97,94,91,88,93,88.0,93.0,92.0,89.0,83.0,88.0,81.0,76.0,75.0,77.0,74.0
LACR,BRB,Barbados,MCV1,89,85,77,89,92,85,92,92,96,95,87,90,93,85.0,94.0,94.0,75.0,92.0,93.0,98.0,90.0,91.0,93.0,94.0
ECAR,BLR,Belarus,MCV1,97,98,98,97,98,98,97,98,99,99,99,98,99,99.0,99.0,99.0,99.0,97.0,99.0,99.0,99.0,99.0,99.0,98.0
Non-programme,BEL,Belgium,MCV1,96,96,96,96,96,96,96,96,96,96,96,96,95,95.0,95.0,93.0,92.0,92.0,88.0,82.0,82.0,82.0,82.0,82.0
LACR,BLZ,Belize,MCV1,93,81,79,82,96,97,90,95,96,95,99,96,98,98.0,97.0,96.0,96.0,99.0,95.0,97.0,96.0,88.0,94.0,96.0
WCAR,BEN,Benin,MCV1,52,52,53,54,58,61,65,68,67,65,68,74,70,68.0,71.0,66.0,70.0,66.0,61.0,63.0,65.0,66.0,68.0,70.0
ROSA,BTN,Bhutan,MCV1,99,97,97,93,97,97,97,97,97,97,94,95,95,95.0,94.0,99.0,95.0,90.0,93.0,87.0,88.0,78.0,78.0,78.0
LACR,BOL,Bolivia (Plurinational State of),MCV1,68,69,75,74,79,89,83,94,95,89,87,92,96,88.0,93.0,92.0,86.0,88.0,89.0,90.0,96.0,91.0,88.0,84.0
ECAR,BIH,Bosnia and Herzegovina,MCV1,55,58,61,61,65,68,69,68,83,89,92,94,89,91.0,93.0,84.0,96.0,85.0,90.0,88.0,84.0,89.0,92.0,80.0
ESAR,BWA,Botswana,MCV1,97,90,97,87,97,97,97,97,97,97,97,97,97,96.0,96.0,95.0,95.0,94.0,93.0,93.0,92.0,92.0,91.0,91.0
LACR,BRA,Brazil,MCV1,87,81,73,79,91,92,87,95,96,97,98,99,99,99.0,99.0,99.0,99.0,99.0,98.0,97.0,97.0,96.0,99.0,99.0
EAPR,BRN,Brunei Darussalam,MCV1,97,97,99,99,97,99,97,98,96,97,96,95,91,94.0,99.0,99.0,97.0,97.0,98.0,99.0,98.0,99.0,99.0,99.0
ECAR,BGR,Bulgaria,MCV1,92,91,89,88,95,93,94,92,92,93,95,94,95,97.0,96.0,96.0,96.0,96.0,96.0,95.0,96.0,92.0,90.0,89.0
WCAR,BFA,Burkina Faso,MCV1,94,91,88,88,88,88,88,88,88,88,82,87,89,92.0,94.0,94.0,94.0,88.0,84.0,78.0,76.0,64.0,63.0,48.0
ESAR,BDI,Burundi,MCV1,86,89,90,90,92,88,90,93,93,94,98,93,93,92.0,91.0,84.0,88.0,92.0,87.0,78.0,76.0,75.0,73.0,72.0
WCAR,CPV,Cabo Verde,MCV1,95,95,95,95,98,99,96,93,92,93,91,91,96,97.0,97.0,96.0,95.0,94.0,92.0,91.0,90.0,89.0,88.0,86.0
EAPR,KHM,Cambodia,MCV1,79,83,83,83,87,86,85,85,85,83,79,84,88,90.0,92.0,89.0,79.0,78.0,79.0,80.0,65.0,52.0,59.0,65.0
WCAR,CMR,Cameroon,MCV1,71,68,65,63,61,61,67,72,71,71,71,74,76,79.0,74.0,80.0,74.0,73.0,68.0,64.0,61.0,53.0,51.0,49.0
Non-programme,CAN,Canada,MCV1,92,92,90,90,90,90,90,89,89,90,90,89,88,90.0,91.0,93.0,94.0,93.0,94.0,94.0,95.0,95.0,95.0,96.0
WCAR,CAF,Central African Republic,MCV1,41,41,41,41,41,41,41,45,46,47,25,48,49,53.0,56.0,58.0,59.0,61.0,62.0,55.0,49.0,42.0,35.0,36.0
WCAR,TCD,Chad,MCV1,63,54,53,45,40,41,37,37,46,45,57,63,54,46.0,36.0,27.0,31.0,39.0,27.0,16.0,23.0,25.0,26.0,28.0
LACR,CHL,Chile,MCV1,94,94,92,91,95,93,93,93,96,97,90,90,91,93.0,93.0,96.0,92.0,91.0,90.0,94.0,96.0,95.0,96.0,97.0
EAPR,CHN,China,MCV1,97,99,99,99,99,99,99,99,99,99,99,99,99,99.0,99.0,97.0,94.0,93.0,86.0,86.0,85.0,85.0,85.0,84.0
LACR,COL,Colombia,MCV1,93,88,86,90,95,95,93,93,94,91,92,94,88,88.0,95.0,92.0,95.0,95.0,94.0,92.0,93.0,93.0,93.0,88.0
ESAR,COM,Comoros,MCV1,70,71,68,75,76,74,75,77,81,80,82,85,79,72.0,79.0,76.0,65.0,66.0,67.0,76.0,67.0,71.0,70.0,70.0
WCAR,COG,Congo,MCV1,65,65,68,68,73,75,70,67,80,80,80,80,83,75.0,63.0,69.0,59.0,61.0,54.0,65.0,50.0,37.0,35.0,34.0
EAPR,COK,Cook Islands,MCV1,84,61,74,87,99,99,98,90,99,98,97,97,89,99.0,78.0,95.0,98.0,99.0,99.0,99.0,99.0,95.0,83.0,76.0
