unicef_region,iso3,country,vaccine,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
WCAR,BEN,Benin,MENGA,52,52.0,,,,,,,,,,,,,,,,,,,,,,
WCAR,BFA,Burkina Faso,MENGA,71,71.0,71.0,71.0,71.0,70.0,68.0,,,,,,,,,,,,,,,,,
WCAR,CAF,Central African Republic,MENGA,41,41.0,41.0,41.0,41.0,41.0,23.0,,,,,,,,,,,,,,,,,
WCAR,TCD,Chad,MENGA,63,50.0,49.0,42.0,37.0,37.0,,,,,,,,,,,,,,,,,,
WCAR,CIV,Cote d'Ivoire,MENGA,68,62.0,63.0,62.0,66.0,28.0,,,,,,,,,,,,,,,,,,
ESAR,ERI,Eritrea,MENGA,90,85.0,85.0,54.0,84.0,,,,,,,,,,,,,,,,,,,
WCAR,GMB,Gambia,MENGA,86,66.0,73.0,54.0,35.0,,,,,,,,,,,,,,,,,,,
WCAR,GHA,Ghana,MENGA,76,81.0,81.0,71.0,79.0,83.0,82.0,13.0,,,,,,,,,,,,,,,,
WCAR,GIN,Guinea,MENGA,34,19.0,8.0,,,,,,,,,,,,,,,,,,,,,
WCAR,GNB,Guinea-Bissau,MENGA,40,,,,,,,,,,,,,,,,,,,,,,,
WCAR,MLI,Mali,MENGA,67,65.0,65.0,58.0,65.0,65.0,65.0,,,,,,,,,,,,,,,,,
WCAR,NER,Niger,MENGA,80,82.0,84.0,81.0,81.0,80.0,14.0,,,,,,,,,,,,,,,,,
WCAR,NGA,Nigeria,MENGA,55,55.0,55.0,55.0,22.0,,,,,,,,,,,,,,,,,,,
MENA,SDN,Sudan,MENGA,51,66.0,80.0,84.0,86.0,84.0,82.0,41.0,,,,,,,,,,,,,,,,
WCAR,TGO,Togo,MENGA,60,55.0,,,,,,,,,,,,,,,,,,,,,,
