unicef_region,iso3,country,vaccine,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
ROSA,AFG,Afghanistan,PCV3,58,55.0,53.0,59.0,61.0,64.0,63.0,62.0,65.0,49.0,,,,,,,,,,,,,,
ECAR,ALB,Albania,PCV3,85,87.0,89.0,92.0,96.0,98.0,99.0,98.0,99.0,99.0,99.0,99.0,99.0,,,,,,,,,,,
MENA,DZA,Algeria,PCV3,89,74.0,78.0,83.0,87.0,91.0,89.0,61.0,,,,,,,,,,,,,,,,
Non-programme,AND,Andorra,PCV3,94,95.0,95.0,96.0,96.0,94.0,98.0,92.0,92.0,93.0,,,,,,,,,,,,,,
ESAR,AGO,Angola,PCV3,49,24.0,34.0,53.0,53.0,59.0,52.0,55.0,55.0,45.0,9.0,,,,,,,,,,,,,
LACR,ARG,Argentina,PCV3,71,79.0,79.0,75.0,80.0,88.0,76.0,82.0,82.0,89.0,86.0,41.0,,,,,,,,,,,,
ECAR,ARM,Armenia,PCV3,94,93.0,93.0,92.0,92.0,92.0,94.0,94.0,44.0,,,,,,,,,,,,,,,
Non-programme,AUS,Australia,PCV3,95,96.0,96.0,97.0,96.0,95.0,94.0,94.0,93.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,,,,,,,,
ECAR,AZE,Azerbaijan,PCV3,82,83.0,90.0,79.0,95.0,95.0,96.0,97.0,94.0,64.0,,,,,,,,,,,,,,
LACR,BHS,Bahamas,PCV3,81,79.0,80.0,83.0,89.0,90.0,93.0,94.0,95.0,96.0,97.0,37.0,1.0,1.0,3.0,,,,,,,,,
MENA,BHR,Bahrain,PCV3,98,99.0,99.0,99.0,97.0,98.0,97.0,99.0,98.0,98.0,99.0,99.0,99.0,99.0,96.0,14.0,,,,,,,,
ROSA,BGD,Bangladesh,PCV3,99,99.0,99.0,99.0,99.0,99.0,99.0,97.0,48.0,,,,,,,,,,,,,,,
LACR,BRB,Barbados,PCV3,86,87.0,83.0,86.0,93.0,89.0,89.0,96.0,97.0,90.0,87.0,84.0,81.0,78.0,75.0,,,,,,,,,
Non-programme,BEL,Belgium,PCV3,94,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,93.0,93.0,93.0,,,,,,,,,,,,
WCAR,BEN,Benin,PCV3,69,69.0,70.0,70.0,71.0,72.0,72.0,73.0,72.0,69.0,70.0,67.0,36.0,,,,,,,,,,,
ROSA,BTN,Bhutan,PCV3,99,97.0,95.0,90.0,26.0,,,,,,,,,,,,,,,,,,,
LACR,BOL,Bolivia (Plurinational State of),PCV3,68,69.0,70.0,68.0,75.0,83.0,83.0,87.0,86.0,56.0,,,,,,,,,,,,,,
ESAR,BWA,Botswana,PCV3,81,68.0,90.0,90.0,92.0,91.0,89.0,91.0,93.0,95.0,72.0,52.0,,,,,,,,,,,,
LACR,BRA,Brazil,PCV3,74,72.0,69.0,79.0,78.0,80.0,82.0,84.0,94.0,93.0,94.0,88.0,82.0,24.0,,,,,,,,,,
ECAR,BGR,Bulgaria,PCV3,87,87.0,86.0,85.0,88.0,88.0,91.0,90.0,90.0,92.0,94.0,94.0,94.0,69.0,,,,,,,,,,
WCAR,BFA,Burkina Faso,PCV3,92,93.0,66.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,,,,,,,,,,,,,,
ESAR,BDI,Burundi,PCV3,88,91.0,94.0,93.0,93.0,90.0,91.0,94.0,94.0,95.0,96.0,96.0,14.0,,,,,,,,,,,
EAPR,KHM,Cambodia,PCV3,82,84.0,86.0,86.0,88.0,83.0,81.0,87.0,68.0,,,,,,,,,,,,,,,
WCAR,CMR,Cameroon,PCV3,75,70.0,70.0,69.0,67.0,68.0,73.0,78.0,77.0,77.0,75.0,84.0,23.0,,,,,,,,,,,
Non-programme,CAN,Canada,PCV3,85,85.0,84.0,84.0,84.0,81.0,81.0,80.0,80.0,79.0,79.0,73.0,66.0,58.0,50.0,42.0,,,,,,,,
WCAR,CAF,Central African Republic,PCV3,40,40.0,40.0,40.0,40.0,40.0,40.0,43.0,44.0,45.0,23.0,47.0,8.0,,,,,,,,,,,
LACR,CHL,Chile,PCV3,93,93.0,92.0,89.0,95.0,93.0,93.0,93.0,90.0,92.0,79.0,82.0,54.0,,,,,,,,,,,
LACR,COL,Colombia,PCV3,90,85.0,84.0,89.0,93.0,94.0,91.0,89.0,91.0,89.0,87.0,84.0,46.0,22.0,,,,,,,,,,
WCAR,COG,Congo,PCV3,76,76.0,75.0,71.0,68.0,73.0,66.0,67.0,80.0,85.0,85.0,10.0,,,,,,,,,,,,
EAPR,COK,Cook Islands,PCV3,77,43.0,,,,,,,,,,,,,,,,,,,,,,
LACR,CRI,Costa Rica,PCV3,99,92.0,87.0,94.0,95.0,96.0,96.0,94.0,94.0,83.0,94.0,89.0,68.0,94.0,48.0,,,,,,,,,
WCAR,CIV,Cote d'Ivoire,PCV3,79,68.0,64.0,71.0,78.0,83.0,81.0,80.0,70.0,2.0,,,,,,,,,,,,,,
ECAR,HRV,Croatia,PCV3,90,90.0,75.0,,,,,,,,,,,,,,,,,,,,,
Non-programme,CYP,Cyprus,PCV3,74,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,,,,,,,,,,,,,,,
WCAR,COD,Democratic Republic of the Congo,PCV3,59,64.0,63.0,69.0,72.0,70.0,69.0,66.0,64.0,48.0,34.0,23.0,3.0,,,,,,,,,,,
Non-programme,DNK,Denmark,PCV3,97,96.0,96.0,96.0,97.0,96.0,97.0,94.0,91.0,93.0,90.0,93.0,90.0,88.0,86.0,,,,,,,,,
MENA,DJI,Djibouti,PCV3,72,59.0,59.0,70.0,85.0,84.0,76.0,68.0,82.0,78.0,82.0,,,,,,,,,,,,,
LACR,DOM,Dominican Republic,PCV3,86,73.0,76.0,69.0,67.0,66.0,64.0,30.0,22.0,27.0,,,,,,,,,,,,,,
LACR,ECU,Ecuador,PCV3,71,71.0,62.0,76.0,83.0,85.0,84.0,84.0,81.0,86.0,90.0,94.0,71.0,17.0,,,,,,,,,,
LACR,SLV,El Salvador,PCV3,99,90.0,92.0,93.0,96.0,87.0,96.0,97.0,99.0,88.0,92.0,94.0,95.0,66.0,,,,,,,,,,
ESAR,ERI,Eritrea,PCV3,95,95.0,95.0,95.0,95.0,95.0,95.0,95.0,,,,,,,,,,,,,,,,
