unicef_region,iso3,country,vaccine,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
ROSA,AFG,Afghanistan,POL3,68,69,64,69,71,73,70,71,67,62,63,66,68,66.0,63.0,64.0,63.0,58.0,58.0,50.0,41.0,36.0,35.0,24.0
ECAR,ALB,Albania,POL3,97,98,98,98,99,99,99,98,99,98,99,99,99,99.0,98.0,99.0,99.0,97.0,97.0,98.0,97.0,98.0,97.0,97.0
MENA,DZA,Algeria,POL3,88,77,81,84,88,91,91,91,95,95,95,95,95,95.0,94.0,92.0,95.0,95.0,88.0,86.0,87.0,86.0,89.0,86.0
Non-programme,AND,Andorra,POL3,98,97,98,99,99,99,99,98,97,97,96,99,99,99.0,99.0,99.0,96.0,93.0,98.0,99.0,99.0,95.0,95.0,95.0
ESAR,AGO,Angola,POL3,60,41,43,51,56,61,52,58,62,55,48,54,50,56.0,36.0,36.0,43.0,8.0,14.0,18.0,21.0,22.0,28.0,21.0
LACR,ATG,Antigua and Barbuda,POL3,98,99,92,95,95,94,94,87,86,96,98,97,99,99.0,98.0,99.0,98.0,99.0,98.0,97.0,99.0,93.0,99.0,96.0
LACR,ARG,Argentina,POL3,71,84,79,74,83,84,84,87,93,92,90,90,93,95.0,97.0,94.0,92.0,92.0,95.0,91.0,95.0,94.0,85.0,88.0
ECAR,ARM,Armenia,POL3,94,93,93,86,94,92,96,96,96,95,96,96,96,96.0,94.0,91.0,90.0,87.0,92.0,93.0,96.0,96.0,97.0,96.0
Non-programme,AUS,Australia,POL3,94,94,95,95,95,95,95,94,93,92,91,92,92,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,91.0,90.0
Non-programme,AUT,Austria,POL3,84,84,86,85,85,85,90,87,93,98,95,92,89,86.0,83.0,83.0,85.0,83.0,86.0,83.0,84.0,82.0,83.0,71.0
ECAR,AZE,Azerbaijan,POL3,91,88,93,85,96,96,97,98,98,97,96,92,91,85.0,84.0,85.0,81.0,80.0,79.0,78.0,79.0,80.0,77.0,75.0
LACR,BHS,Bahamas,POL3,87,87,86,83,89,90,94,94,95,96,97,99,97,97.0,97.0,93.0,95.0,94.0,93.0,92.0,93.0,93.0,98.0,91.0
MENA,BHR,Bahrain,POL3,99,97,99,98,99,99,98,99,98,99,99,99,99,99.0,97.0,97.0,97.0,98.0,98.0,98.0,97.0,98.0,99.0,97.0
ROSA,BGD,Bangladesh,POL3,98,98,98,98,98,98,98,98,98,97,96,94,96,94.0,97.0,96.0,96.0,95.0,94.0,88.0,90.0,83.0,85.0,83.0
LACR,BRB,Barbados,POL3,85,86,84,85,91,94,91,97,97,95,91,88,91,90.0,93.0,85.0,93.0,85.0,91.0,93.0,90.0,86.0,93.0,86.0
ECAR,BLR,Belarus,POL3,98,98,97,97,98,98,98,98,99,97,98,98,98,99.0,98.0,98.0,90.0,97.0,98.0,99.0,53.0,99.0,99.0,99.0
Non-programme,BEL,Belgium,POL3,98,98,98,98,98,98,98,98,99,99,99,99,98,98.0,98.0,99.0,99.0,99.0,97.0,96.0,96.0,96.0,96.0,96.0
LACR,BLZ,Belize,POL3,85,84,83,79,98,96,88,96,94,95,95,98,95,96.0,98.0,94.0,97.0,98.0,96.0,97.0,95.0,93.0,96.0,91.0
WCAR,BEN,Benin,POL3,65,65,66,67,69,71,73,75,72,71,73,80,77,77.0,80.0,77.0,82.0,76.0,73.0,74.0,75.0,76.0,77.0,78.0
ROSA,BTN,Bhutan,POL3,98,98,98,96,97,97,97,97,98,98,97,97,95,92.0,93.0,96.0,93.0,96.0,95.0,90.0,96.0,89.0,88.0,98.0
LACR,BOL,Bolivia (Plurinational State of),POL3,67,69,70,68,75,83,83,87,88,85,88,93,95,90.0,92.0,87.0,85.0,82.0,84.0,84.0,82.0,76.0,71.0,74.0
ECAR,BIH,Bosnia and Herzegovina,POL3,75,75,75,74,74,73,75,79,74,86,87,87,89,90.0,90.0,92.0,95.0,91.0,95.0,87.0,87.0,86.0,92.0,87.0
ESAR,BWA,Botswana,POL3,96,86,96,96,96,96,96,96,96,96,96,96,96,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,97.0,97.0,97.0
LACR,BRA,Brazil,POL3,85,75,68,74,85,85,84,72,98,96,96,96,98,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
EAPR,BRN,Brunei Darussalam,POL3,99,99,99,99,99,99,99,99,99,99,99,92,96,99.0,99.0,97.0,95.0,94.0,93.0,92.0,99.0,99.0,99.0,99.0
ECAR,BGR,Bulgaria,POL3,92,91,89,91,93,92,92,92,91,88,95,95,95,94.0,94.0,96.0,95.0,96.0,97.0,94.0,96.0,94.0,94.0,94.0
WCAR,BFA,Burkina Faso,POL3,93,92,91,91,91,91,91,91,91,91,89,90,90,90.0,91.0,92.0,93.0,94.0,94.0,83.0,83.0,69.0,62.0,45.0
ESAR,BDI,Burundi,POL3,89,91,94,93,93,90,91,94,94,95,96,96,95,94.0,96.0,89.0,93.0,88.0,82.0,76.0,75.0,74.0,72.0,71.0
WCAR,CPV,Cabo Verde,POL3,94,94,94,94,97,98,96,95,93,95,93,94,90,99.0,99.0,99.0,98.0,97.0,95.0,94.0,93.0,92.0,91.0,90.0
EAPR,KHM,Cambodia,POL3,84,83,87,88,89,86,88,88,90,91,71,90,91,90.0,95.0,91.0,82.0,80.0,82.0,86.0,69.0,54.0,59.0,62.0
WCAR,CMR,Cameroon,POL3,74,62,71,68,68,68,73,77,75,76,75,78,80,83.0,79.0,82.0,81.0,78.0,79.0,72.0,72.0,66.0,61.0,57.0
Non-programme,CAN,Canada,POL3,92,92,92,92,92,91,91,91,91,91,91,91,87,90.0,93.0,96.0,99.0,95.0,93.0,91.0,88.0,88.0,88.0,88.0
WCAR,CAF,Central African Republic,POL3,46,46,46,46,46,46,46,52,51,50,23,47,47,46.0,45.0,46.0,46.0,47.0,47.0,45.0,44.0,42.0,40.0,38.0
WCAR,TCD,Chad,POL3,67,58,57,51,46,45,44,44,52,44,46,51,40,44.0,34.0,30.0,40.0,50.0,37.0,32.0,36.0,31.0,26.0,30.0
LACR,CHL,Chile,POL3,96,96,95,93,96,95,93,95,96,95,90,90,93,92.0,94.0,95.0,95.0,94.0,92.0,94.0,96.0,97.0,96.0,91.0
EAPR,CHN,China,POL3,97,99,99,99,99,99,99,99,99,99,99,99,99,99.0,99.0,99.0,94.0,94.0,87.0,87.0,87.0,86.0,86.0,86.0
LACR,COL,Colombia,POL3,90,86,86,88,94,92,92,91,91,90,91,91,85,88.0,92.0,92.0,93.0,94.0,93.0,89.0,92.0,83.0,83.0,82.0
ESAR,COM,Comoros,POL3,62,72,72,64,71,77,79,75,81,79,82,85,85,82.0,84.0,81.0,75.0,69.0,67.0,73.0,80.0,98.0,70.0,70.0
WCAR,COG,Congo,POL3,52,52,75,73,78,75,69,71,80,90,85,68,72,72.0,76.0,77.0,71.0,73.0,62.0,67.0,50.0,41.0,32.0,31.0
EAPR,COK,Cook Islands,POL3,69,81,81,89,98,99,99,99,99,99,98,98,93,99.0,82.0,99.0,99.0,99.0,99.0,99.0,95.0,97.0,90.0,92.0
LACR,CRI,Costa Rica,POL3,99,95,92,97,96,94,96,97,92,91,95,90,82,93.0,80.0,89.0,89.0,89.0,91.0,90.0,88.0,94.0,92.0,80.0
WCAR,CIV,Cote d'Ivoire,POL3,77,71,71,65,79,83,82,81,77,71,74,83,58,75.0,77.0,58.0,75.0,76.0,87.0,76.0,68.0,70.0,70.0,66.0
ECAR,HRV,Croatia,POL3,93,92,92,94,94,94,92,93,94,95,96,96,96,97.0,96.0,96.0,96.0,96.0,96.0,96.0,95.0,95.0,94.0,94.0
LACR,CUB,Cuba,POL3,99,98,98,98,99,99,98,98,99,99,99,98,99,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,98.0,99.0,98.0
Non-programme,CYP,Cyprus,POL3,95,95,95,95,95,97,97,96,96,98,98,98,98,99.0,99.0,97.0,97.0,97.0,98.0,98.0,97.0,97.0,97.0,97.0
Non-programme,CZE,Czechia,POL3,94,94,94,96,97,96,94,96,97,99,99,99,99,99.0,99.0,99.0,99.0,98.0,96.0,96.0,97.0,97.0,97.0,98.0
EAPR,PRK,Democratic People's Republic of Korea,POL3,0,0,0,70,98,99,99,99,99,99,99,99,99,99.0,98.0,98.0,99.0,98.0,97.0,99.0,99.0,99.0,98.0,93.0
WCAR,COD,Democratic Republic of the Congo,POL3,61,66,65,72,74,72,71,66,69,72,71,69,65,68.0,69.0,67.0,64.0,62.0,60.0,52.0,47.0,40.0,30.0,42.0
Non-programme,DNK,Denmark,POL3,97,98,97,97,97,97,98,94,93,94,94,94,91,90.0,89.0,88.0,87.0,93.0,93.0,95.0,96.0,98.0,97.0,97.0
MENA,DJI,Djibouti,POL3,72,59,59,70,85,84,76,68,84,78,82,81,87,88.0,89.0,89.0,88.0,72.0,71.0,64.0,68.0,62.0,49.0,46.0
LACR,DMA,Dominica,POL3,57,82,92,96,99,94,91,99,98,97,96,97,98,99.0,99.0,95.0,93.0,96.0,98.0,99.0,99.0,98.0,99.0,99.0
LACR,DOM,Dominican Republic,POL3,89,88,83,80,92,86,80,82,87,90,82,85,84,85.0,85.0,86.0,86.0,88.0,86.0,66.0,65.0,74.0,71.0,71.0
LACR,ECU,Ecuador,POL3,59,59,62,72,85,85,83,79,84,84,87,85,85,88.0,91.0,94.0,95.0,92.0,89.0,90.0,97.0,88.0,90.0,83.0
MENA,EGY,Egypt,POL3,96,97,96,95,95,95,94,95,93,94,97,93,96,97.0,97.0,97.0,98.0,98.0,98.0,97.0,98.0,97.0,99.0,98.0
LACR,SLV,El Salvador,POL3,96,93,96,85,97,89,83,98,94,94,90,93,90,89.0,91.0,98.0,99.0,96.0,89.0,90.0,93.0,81.0,94.0,98.0
WCAR,GNQ,Equatorial Guinea,POL3,73,70,68,65,63,60,58,55,37,55,57,58,60,61.0,59.0,57.0,55.0,53.0,51.0,49.0,47.0,45.0,43.0,41.0
