unicef_region,iso3,country,vaccine,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
ECAR,ALB,Albania,RCV1,83,86,87.0,91.0,95.0,94.0,96.0,96.0,97.0,98.0,99.0,98.0,99.0,99.0,97.0,98.0,97.0,95.0,97.0,96.0,93.0,96.0,95.0,
MENA,DZA,Algeria,RCV1,99,79,79.0,80.0,80.0,80.0,88.0,,,,,,,,,,,,,,,,,
Non-programme,AND,Andorra,RCV1,99,98,99.0,98.0,99.0,99.0,99.0,97.0,96.0,96.0,95.0,98.0,99.0,99.0,98.0,98.0,94.0,91.0,94.0,98.0,96.0,98.0,97.0,97.0
ESAR,AGO,Angola,RCV1,50,37,36.0,44.0,51.0,50.0,,,,,,,,,,,,,,,,,,
LACR,ATG,Antigua and Barbuda,RCV1,94,99,85.0,89.0,93.0,96.0,99.0,88.0,91.0,93.0,96.0,98.0,99.0,98.0,99.0,99.0,99.0,99.0,99.0,97.0,99.0,99.0,97.0,95.0
LACR,ARG,Argentina,RCV1,80,85,86.0,77.0,86.0,94.0,89.0,90.0,89.0,95.0,94.0,94.0,95.0,95.0,96.0,96.0,94.0,97.0,98.0,99.0,97.0,95.0,89.0,91.0
ECAR,ARM,Armenia,RCV1,96,95,94.0,94.0,95.0,95.0,96.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,96.0,94.0,92.0,92.0,94.0,92.0,94.0,91.0,,
Non-programme,AUS,Australia,RCV1,91,96,93.0,93.0,94.0,94.0,94.0,95.0,95.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,92.0,91.0
Non-programme,AUT,Austria,RCV1,95,95,99.0,95.0,95.0,94.0,96.0,95.0,96.0,96.0,92.0,88.0,84.0,80.0,76.0,83.0,79.0,80.0,75.0,74.0,79.0,78.0,79.0,75.0
ECAR,AZE,Azerbaijan,RCV1,96,93,93.0,82.0,98.0,96.0,98.0,98.0,98.0,98.0,98.0,94.0,92.0,89.0,85.0,79.0,75.0,69.0,67.0,67.0,67.0,,,
LACR,BHS,Bahamas,RCV1,86,80,82.0,87.0,83.0,89.0,90.0,89.0,94.0,92.0,92.0,91.0,90.0,94.0,98.0,90.0,96.0,88.0,85.0,89.0,90.0,94.0,94.0,93.0
MENA,BHR,Bahrain,RCV1,99,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0
ROSA,BGD,Bangladesh,RCV1,97,97,97.0,97.0,97.0,97.0,97.0,97.0,97.0,94.0,91.0,17.0,,,,,,,,,,,,
LACR,BRB,Barbados,RCV1,89,85,77.0,89.0,92.0,85.0,92.0,92.0,96.0,95.0,87.0,90.0,93.0,85.0,94.0,94.0,75.0,92.0,93.0,98.0,90.0,91.0,93.0,94.0
ECAR,BLR,Belarus,RCV1,97,98,98.0,97.0,98.0,98.0,97.0,98.0,99.0,99.0,99.0,98.0,99.0,99.0,99.0,99.0,99.0,97.0,99.0,99.0,99.0,99.0,99.0,98.0
Non-programme,BEL,Belgium,RCV1,96,96,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,95.0,95.0,95.0,93.0,92.0,92.0,88.0,82.0,82.0,82.0,82.0,82.0
LACR,BLZ,Belize,RCV1,93,81,79.0,82.0,96.0,97.0,90.0,95.0,96.0,95.0,99.0,96.0,98.0,98.0,97.0,96.0,96.0,99.0,95.0,97.0,96.0,88.0,94.0,96.0
WCAR,BEN,Benin,RCV1,52,52,53.0,54.0,58.0,,,,,,,,,,,,,,,,,,,
ROSA,BTN,Bhutan,RCV1,99,97,97.0,93.0,97.0,97.0,97.0,97.0,97.0,97.0,94.0,95.0,95.0,95.0,94.0,99.0,95.0,90.0,,,,,,
LACR,BOL,Bolivia (Plurinational State of),RCV1,68,69,75.0,74.0,79.0,89.0,83.0,94.0,95.0,89.0,87.0,92.0,96.0,88.0,93.0,92.0,86.0,88.0,89.0,90.0,96.0,91.0,88.0,84.0
ECAR,BIH,Bosnia and Herzegovina,RCV1,55,58,61.0,61.0,65.0,68.0,69.0,68.0,83.0,89.0,92.0,94.0,89.0,91.0,93.0,84.0,96.0,85.0,90.0,88.0,84.0,89.0,92.0,80.0
ESAR,BWA,Botswana,RCV1,97,90,97.0,87.0,97.0,97.0,97.0,97.0,,,,,,,,,,,,,,,,
LACR,BRA,Brazil,RCV1,87,81,73.0,79.0,91.0,92.0,87.0,95.0,96.0,97.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,97.0,97.0,96.0,99.0,99.0
EAPR,BRN,Brunei Darussalam,RCV1,97,97,99.0,99.0,97.0,99.0,97.0,98.0,96.0,97.0,96.0,95.0,91.0,94.0,99.0,99.0,97.0,97.0,98.0,99.0,98.0,99.0,99.0,99.0
ECAR,BGR,Bulgaria,RCV1,92,91,89.0,88.0,95.0,93.0,94.0,92.0,92.0,93.0,95.0,94.0,95.0,97.0,96.0,96.0,96.0,96.0,96.0,95.0,96.0,92.0,90.0,89.0
WCAR,BFA,Burkina Faso,RCV1,94,91,88.0,88.0,88.0,88.0,88.0,88.0,68.0,,,,,,,,,,,,,,,
ESAR,BDI,Burundi,RCV1,86,89,90.0,90.0,92.0,88.0,90.0,,,,,,,,,,,,,,,,,
WCAR,CPV,Cabo Verde,RCV1,95,95,95.0,95.0,98.0,99.0,96.0,92.0,95.0,79.0,89.0,94.0,99.0,,,,,,,,,,,
EAPR,KHM,Cambodia,RCV1,79,83,83.0,83.0,87.0,86.0,85.0,85.0,85.0,83.0,79.0,,,,,,,,,,,,,
WCAR,CMR,Cameroon,RCV1,71,68,65.0,63.0,61.0,61.0,67.0,,,,,,,,,,,,,,,,,
Non-programme,CAN,Canada,RCV1,92,92,90.0,90.0,90.0,90.0,90.0,89.0,89.0,90.0,90.0,89.0,88.0,90.0,91.0,93.0,94.0,93.0,94.0,94.0,95.0,95.0,95.0,96.0
LACR,CHL,Chile,RCV1,94,94,92.0,91.0,95.0,93.0,93.0,93.0,96.0,97.0,90.0,90.0,91.0,93.0,93.0,96.0,92.0,91.0,90.0,94.0,96.0,95.0,96.0,97.0
EAPR,CHN,China,RCV1,97,99,99.0,99.0,99.0,99.0,99.0,99.0,95.0,98.0,96.0,95.0,86.0,62.0,,,,,,,,,,
LACR,COL,Colombia,RCV1,93,88,86.0,90.0,95.0,95.0,93.0,93.0,94.0,91.0,92.0,94.0,88.0,88.0,95.0,92.0,95.0,95.0,94.0,92.0,93.0,93.0,93.0,88.0
ESAR,COM,Comoros,RCV1,70,71,33.0,,,,,,,,,,,,,,,,,,,,,
WCAR,COG,Congo,RCV1,65,65,68.0,68.0,62.0,,,,,,,,,,,,,,,,,,,
EAPR,COK,Cook Islands,RCV1,84,61,74.0,87.0,99.0,99.0,98.0,90.0,99.0,98.0,97.0,97.0,89.0,99.0,78.0,95.0,98.0,99.0,,,,,,
LACR,CRI,Costa Rica,RCV1,93,90,89.0,95.0,95.0,94.0,96.0,93.0,93.0,95.0,91.0,90.0,83.0,83.0,81.0,89.0,90.0,90.0,89.0,88.0,89.0,94.0,82.0,82.0
WCAR,CIV,Cote d'Ivoire,RCV1,70,62,65.0,63.0,71.0,74.0,,,,,,,,,,,,,,,,,,
ECAR,HRV,Croatia,RCV1,90,90,89.0,91.0,93.0,93.0,89.0,90.0,93.0,94.0,94.0,95.0,96.0,96.0,95.0,96.0,96.0,95.0,96.0,96.0,94.0,95.0,94.0,93.0
LACR,CUB,Cuba,RCV1,99,99,99.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,97.0,96.0,98.0,99.0,99.0,98.0,96.0,94.0
Non-programme,CYP,Cyprus,RCV1,82,84,86.0,86.0,86.0,90.0,90.0,90.0,90.0,86.0,86.0,86.0,87.0,87.0,87.0,87.0,87.0,87.0,86.0,86.0,86.0,86.0,86.0,86.0
Non-programme,CZE,Czechia,RCV1,87,97,97.0,94.0,92.0,96.0,97.0,98.0,99.0,99.0,99.0,98.0,98.0,98.0,98.0,97.0,98.0,97.0,97.0,97.0,97.0,98.0,97.0,97.0
EAPR,PRK,Democratic People's Republic of Korea,RCV1,28,67,99.0,99.0,,,,,,,,,,,,,,,,,,,,
Non-programme,DNK,Denmark,RCV1,95,95,95.0,94.0,96.0,95.0,97.0,94.0,91.0,90.0,89.0,90.0,87.0,85.0,84.0,87.0,89.0,90.0,95.0,96.0,96.0,95.0,94.0,99.0
LACR,DMA,Dominica,RCV1,87,87,88.0,92.0,92.0,84.0,77.0,96.0,96.0,94.0,93.0,99.0,99.0,99.0,99.0,99.0,96.0,97.0,98.0,99.0,99.0,99.0,99.0,99.0
LACR,DOM,Dominican Republic,RCV1,94,91,88.0,82.0,96.0,91.0,86.0,85.0,90.0,88.0,83.0,88.0,87.0,85.0,84.0,83.0,82.0,81.0,79.0,81.0,,,,
LACR,ECU,Ecuador,RCV1,74,74,65.0,81.0,83.0,83.0,81.0,86.0,84.0,85.0,97.0,96.0,94.0,95.0,97.0,98.0,98.0,97.0,93.0,99.0,99.0,99.0,99.0,99.0
MENA,EGY,Egypt,RCV1,96,96,96.0,94.0,95.0,94.0,94.0,95.0,92.0,93.0,96.0,93.0,96.0,96.0,95.0,92.0,97.0,97.0,97.0,96.0,97.0,96.0,99.0,97.0
LACR,SLV,El Salvador,RCV1,99,80,97.0,84.0,96.0,87.0,89.0,98.0,97.0,96.0,94.0,93.0,89.0,92.0,91.0,95.0,99.0,98.0,99.0,93.0,90.0,93.0,95.0,97.0
ESAR,ERI,Eritrea,RCV1,93,93,93.0,93.0,93.0,93.0,,,,,,,,,,,,,,,,,,
Non-programme,EST,Estonia,RCV1,89,89,89.0,91.0,88.0,87.0,93.0,93.0,93.0,93.0,94.0,94.0,94.0,95.0,95.0,95.0,96.0,96.0,96.0,96.0,95.0,95.0,95.0,93.0
ESAR,SWZ,Eswatini,RCV1,85,83,80.0,76.0,81.0,85.0,89.0,,,,,,,,,,,,,,,,,
EAPR,FJI,Fiji,RCV1,99,99,99.0,96.0,96.0,95.0,99.0,97.0,97.0,99.0,94.0,98.0,96.0,96.0,95.0,95.0,94.0,92.0,90.0,88.0,86.0,85.0,83.0,81.0
Non-programme,FIN,Finland,RCV1,94,94,93.0,95.0,96.0,96.0,94.0,94.0,95.0,96.0,97.0,97.0,97.0,98.0,98.0,97.0,98.0,97.0,97.0,97.0,97.0,96.0,96.0,96.0
Non-programme,FRA,France,RCV1,95,95,94.0,94.0,92.0,90.0,90.0,90.0,91.0,91.0,90.0,91.0,89.0,89.0,89.0,89.0,90.0,89.0,87.0,88.0,87.0,86.0,85.0,84.0
WCAR,GMB,Gambia,RCV1,80,74,79.0,82.0,85.0,91.0,90.0,,,,,,,,,,,,,,,,,
ECAR,GEO,Georgia,RCV1,95,90,90.0,91.0,99.0,98.0,95.0,93.0,96.0,92.0,97.0,93.0,91.0,94.0,83.0,97.0,97.0,96.0,90.0,86.0,,,,
Non-programme,DEU,Germany,RCV1,97,97,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,96.0,96.0,96.0,95.0,94.0,94.0,92.0
WCAR,GHA,Ghana,RCV1,90,95,94.0,88.0,92.0,92.0,95.0,89.0,89.0,92.0,89.0,,,,,,,,,,,,,
ECAR,GRC,Greece,RCV1,97,97,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,96.0,95.0,94.0,92.0,91.0,89.0
LACR,GRD,Grenada,RCV1,82,76,70.0,83.0,94.0,84.0,85.0,95.0,99.0,94.0,94.0,94.0,95.0,95.0,98.0,99.0,98.0,98.0,99.0,74.0,99.0,96.0,99.0,92.0
LACR,GTM,Guatemala,RCV1,88,86,88.0,89.0,90.0,89.0,94.0,89.0,79.0,68.0,91.0,93.0,89.0,93.0,92.0,96.0,86.0,95.0,93.0,95.0,94.0,92.0,91.0,
LACR,GUY,Guyana,RCV1,95,95,95.0,98.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,95.0,97.0,95.0,96.0,90.0,92.0,88.0,89.0,93.0,92.0,86.0
LACR,HTI,Haiti,RCV1,65,65,65.0,65.0,65.0,69.0,69.0,69.0,69.0,69.0,68.0,66.0,65.0,64.0,63.0,62.0,,,,,,,,
LACR,HND,Honduras,RCV1,77,77,81.0,82.0,89.0,91.0,98.0,98.0,98.0,97.0,97.0,97.0,97.0,98.0,98.0,93.0,94.0,95.0,96.0,92.0,95.0,97.0,99.0,98.0
Non-programme,HUN,Hungary,RCV1,99,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
Non-programme,ISL,Iceland,RCV1,91,91,92.0,93.0,93.0,93.0,92.0,91.0,93.0,90.0,91.0,90.0,94.0,93.0,92.0,96.0,95.0,95.0,90.0,93.0,93.0,91.0,88.0,91.0
ROSA,IND,India,RCV1,93,95,89.0,89.0,95.0,93.0,6.0,,,,,,,,,,,,,,,,,
EAPR,IDN,Indonesia,RCV1,82,92,72.0,76.0,88.0,40.0,15.0,,,,,,,,,,,,,,,,,
MENA,IRN,Iran (Islamic Republic of),RCV1,99,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,99.0,99.0,99.0,98.0,97.0,99.0,94.0,96.0,,,,
MENA,IRQ,Iraq,RCV1,97,97,84.0,93.0,86.0,83.0,84.0,75.0,76.0,67.0,57.0,68.0,77.0,77.0,87.0,76.0,64.0,52.0,58.0,41.0,45.0,48.0,52.0,
Non-programme,IRL,Ireland,RCV1,89,90,90.0,92.0,91.0,92.0,92.0,92.0,93.0,93.0,93.0,92.0,92.0,90.0,90.0,89.0,87.0,86.0,84.0,81.0,78.0,73.0,73.0,79.0
Non-programme,ISR,Israel,RCV1,98,98,99.0,99.0,99.0,98.0,98.0,97.0,98.0,97.0,98.0,96.0,97.0,96.0,97.0,98.0,97.0,96.0,94.0,97.0,96.0,95.0,95.0,95.0
Non-programme,ITA,Italy,RCV1,95,94,94.0,92.0,94.0,93.0,92.0,87.0,85.0,87.0,90.0,90.0,90.0,91.0,90.0,90.0,90.0,88.0,87.0,86.0,84.0,81.0,77.0,74.0
LACR,JAM,Jamaica,RCV1,93,91,88.0,93.0,94.0,89.0,95.0,95.0,91.0,92.0,94.0,93.0,88.0,89.0,88.0,88.0,76.0,87.0,84.0,86.0,78.0,86.0,85.0,88.0
Non-programme,JPN,Japan,RCV1,94,98,95.0,98.0,96.0,97.0,97.0,96.0,96.0,98.0,95.0,96.0,94.0,94.0,94.0,95.0,96.0,97.0,98.0,98.0,98.0,98.0,98.0,96.0
