unicef_region,iso3,country,vaccine,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
ROSA,AFG,Afghanistan,ROTAC,61.0,59.0,56.0,59.0,55.0,45.0,,,,,,,,,,,,,,,,,,
ECAR,ALB,Albania,ROTAC,97.0,97.0,98.0,98.0,,,,,,,,,,,,,,,,,,,,
ESAR,AGO,Angola,ROTAC,43.0,37.0,34.0,43.0,58.0,48.0,43.0,44.0,40.0,18.0,,,,,,,,,,,,,,
LACR,ARG,Argentina,ROTAC,68.0,80.0,78.0,72.0,77.0,80.0,78.0,75.0,61.0,,,,,,,,,,,,,,,
ECAR,ARM,Armenia,ROTAC,93.0,92.0,92.0,92.0,92.0,93.0,94.0,94.0,93.0,91.0,33.0,,,,,,,,,,,,,
Non-programme,AUS,Australia,ROTAC,87.0,88.0,95.0,93.0,92.0,90.0,89.0,87.0,85.0,84.0,84.0,84.0,85.0,84.0,82.0,81.0,,,,,,,,
Non-programme,AUT,Austria,ROTAC,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,47.0,,,,,,,,
LACR,BHS,Bahamas,ROTAC,81.0,82.0,86.0,95.0,78.0,70.0,90.0,11.0,,,,,,,,,,,,,,,,
MENA,BHR,Bahrain,ROTAC,98.0,95.0,99.0,98.0,99.0,98.0,97.0,98.0,97.0,97.0,97.0,96.0,96.0,59.0,90.0,49.0,,,,,,,,
Non-programme,BEL,Belgium,ROTAC,86.0,86.0,86.0,86.0,84.0,87.0,87.0,87.0,88.0,86.0,86.0,86.0,,,,,,,,,,,,
WCAR,BEN,Benin,ROTAC,69.0,69.0,70.0,63.0,,,,,,,,,,,,,,,,,,,,
LACR,BOL,Bolivia (Plurinational State of),ROTAC,70.0,71.0,71.0,74.0,78.0,87.0,84.0,87.0,89.0,85.0,85.0,91.0,91.0,87.0,76.0,51.0,,,,,,,,
ESAR,BWA,Botswana,ROTAC,52.0,65.0,85.0,85.0,86.0,87.0,85.0,88.0,92.0,95.0,85.0,74.0,,,,,,,,,,,,
LACR,BRA,Brazil,ROTAC,84.0,77.0,69.0,76.0,83.0,80.0,77.0,88.0,94.0,92.0,93.0,86.0,87.0,83.0,86.0,81.0,80.0,47.0,,,,,,
ECAR,BGR,Bulgaria,ROTAC,46.0,46.0,46.0,45.0,39.0,31.0,,,,,,,,,,,,,,,,,,
WCAR,BFA,Burkina Faso,ROTAC,86.0,86.0,91.0,88.0,91.0,91.0,91.0,91.0,91.0,91.0,9.0,,,,,,,,,,,,,
ESAR,BDI,Burundi,ROTAC,89.0,91.0,94.0,96.0,95.0,92.0,93.0,96.0,96.0,84.0,,,,,,,,,,,,,,
