unicef_region,iso3,country,vaccine,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
ESAR,AGO,Angola,YFV,42.0,20.0,31.0,30.0,45.0,45.0,28.0,24.0,43.0,48.0,21.0,36.0,38.0,16.0,17.0,39.0,51.0,22.0,23.0,39.0,31.0,25.0,25.0,29.0
LACR,ARG,Argentina,YFV,7.0,8.0,6.0,8.0,8.0,7.0,6.0,6.0,5.0,7.0,7.0,8.0,12.0,14.0,8.0,,,,,,,,,
WCAR,BEN,Benin,YFV,55.0,55.0,56.0,57.0,59.0,61.0,62.0,64.0,63.0,63.0,70.0,69.0,69.0,68.0,72.0,66.0,70.0,67.0,61.0,65.0,65.0,27.0,,
LACR,BOL,Bolivia (Plurinational State of),YFV,67.0,67.0,71.0,72.0,77.0,84.0,82.0,89.0,88.0,73.0,83.0,90.0,92.0,74.0,72.0,88.0,93.0,87.0,84.0,23.0,,,,
LACR,BRA,Brazil,YFV,70.0,61.0,58.0,57.0,60.0,58.0,44.0,43.0,46.0,47.0,45.0,42.0,37.0,34.0,34.0,35.0,36.0,34.0,34.0,31.0,34.0,20.0,39.0,37.0
WCAR,BFA,Burkina Faso,YFV,94.0,91.0,85.0,85.0,85.0,85.0,47.0,49.0,88.0,88.0,88.0,87.0,82.0,82.0,93.0,91.0,89.0,88.0,84.0,71.0,60.0,45.0,36.0,40.0
WCAR,CMR,Cameroon,YFV,67.0,64.0,61.0,62.0,62.0,64.0,68.0,72.0,69.0,70.0,71.0,74.0,76.0,79.0,72.0,77.0,74.0,72.0,68.0,59.0,,,,
WCAR,CAF,Central African Republic,YFV,41.0,41.0,41.0,41.0,41.0,41.0,41.0,46.0,47.0,47.0,24.0,48.0,48.0,55.0,62.0,62.0,62.0,62.0,62.0,55.0,48.0,42.0,35.0,36.0
WCAR,TCD,Chad,YFV,62.0,46.0,48.0,37.0,36.0,35.0,29.0,29.0,41.0,34.0,44.0,51.0,45.0,41.0,32.0,33.0,39.0,40.0,33.0,24.0,20.0,23.0,26.0,28.0
LACR,COL,Colombia,YFV,86.0,75.0,86.0,84.0,90.0,87.0,88.0,77.0,85.0,92.0,92.0,92.0,88.0,79.0,80.0,81.0,84.0,88.0,,,,,,
WCAR,COG,Congo,YFV,61.0,61.0,67.0,69.0,71.0,66.0,63.0,59.0,80.0,80.0,80.0,62.0,74.0,75.0,66.0,67.0,63.0,66.0,54.0,48.0,,,,
WCAR,CIV,Cote d'Ivoire,YFV,67.0,60.0,65.0,64.0,70.0,73.0,68.0,62.0,54.0,52.0,61.0,73.0,49.0,64.0,24.0,50.0,68.0,67.0,83.0,73.0,65.0,67.0,67.0,60.0
WCAR,COD,Democratic Republic of the Congo,YFV,50.0,55.0,56.0,63.0,65.0,65.0,62.0,56.0,64.0,56.0,54.0,63.0,44.0,60.0,63.0,59.0,54.0,50.0,42.0,25.0,5.0,,,
LACR,ECU,Ecuador,YFV,70.0,70.0,70.0,79.0,84.0,85.0,84.0,81.0,78.0,86.0,73.0,74.0,74.0,81.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
WCAR,GNQ,Equatorial Guinea,YFV,59.0,49.0,53.0,50.0,51.0,52.0,2.0,,,,,,,,,,,,,,,,,
WCAR,GAB,Gabon,YFV,62.0,51.0,64.0,52.0,61.0,59.0,63.0,64.0,68.0,60.0,69.0,71.0,71.0,61.0,67.0,70.0,65.0,55.0,42.0,28.0,15.0,,,
